花蓮: 597 total, 192 candidates
  [0] 河南砂鍋手工扯麵 (rating=4.4, reviews=2169, popular)
  [1] 佳興冰果室 (rating=4.2, reviews=12577, popular)
  [2] 無名早餐店 (rating=4.2, reviews=2714, popular)
  [7] 御三家 鍋の物 (rating=5, reviews=1117, popular)
  [9] 火鍋世家 吉安店 (rating=5, reviews=3835, popular)
  [21] 香茅廚房 Lemongrass Kitchen /花蓮美食/花蓮餐廳/花蓮必吃/花蓮聚餐/寵物親子友善餐廳 (rating=4.9, reviews=2674, popular)
  [22] jam kitchen 花蓮中山棧 (rating=4.9, reviews=5539, popular)
  [28] 胖嘟嘟臭豆腐 (rating=4.9, reviews=1194, popular)
  [29] 花蓮市立丼物園 (rating=4.9, reviews=2326, popular)
  [32] 花蓮最美秘境景觀玻璃屋 (rating=4.9, reviews=8332, popular)
  [34] 極禾鍋物職人 花蓮建國旗艦店-吉安個人鍋物|人氣鍋物|熱門鍋物|特色鍋物|小火鍋推薦|必吃火鍋|在地推薦火鍋|聚餐餐廳 (rating=4.9, reviews=1091, popular)
  [35] 火鍋世家 花蓮國聯店 (rating=4.9, reviews=9824, popular)
  [36] 寒聚蘊湯鍋物（花蓮旗艦店） (rating=4.9, reviews=2904, popular)
  [37] 鼎味馨鍋物 (rating=4.9, reviews=2278, popular)
  [38] 巴大爺鍋物（麻辣火鍋） (rating=4.9, reviews=2112, popular)
  [39] 霧川鍋物 (rating=4.9, reviews=1469, popular)
  [41] 八方悅鍋物 花蓮明心店(原中正店) (rating=4.9, reviews=11245, popular)
  [43] 錢都日式涮涮鍋-花蓮國聯店 CHIEN TU HOT POT (rating=4.9, reviews=2810, popular)
  [44] 照豫坊港式麻辣鴛鴦火鍋 (rating=4.9, reviews=1849, popular)
  [45] 高大俠海鮮燒烤Bar (rating=4.9, reviews=5027, popular)
  [46] 同齊咖吡 (rating=4.9, reviews=1011, popular)
  [50] 小村·日 壽司（花蓮店）｜日式餐廳｜花蓮美食｜聚餐餐廳｜客製化餐盒｜生魚片蛋糕｜ (rating=4.9, reviews=3647, popular)
  [56] 梅蘢鎮 (rating=4.9, reviews=2219, popular)
  [64] 月崖灣親子農場 (rating=4.9, reviews=10453, popular)
  [65] 香之莊園-無景觀無內用 (rating=4.9, reviews=1381, popular)
  [70] Mr.&Mrs. 袁的食光-花蓮美食｜花蓮海鮮｜花蓮必吃｜花蓮餐廳｜豐濱美食｜豐濱海鮮｜豐濱餐廳｜豐濱必吃｜石梯漁港美食｜石梯漁港海鮮 (rating=4.9, reviews=1009, popular)
  [75] Mr.&Mrs. 袁的食光-花蓮美食｜花蓮海鮮｜花蓮必吃｜花蓮餐廳｜豐濱美食｜豐濱海鮮｜豐濱餐廳｜豐 (rating=4.9, reviews=1009, popular)
  [85] 游家來來烤肉 Lai Lai GrillShop (rating=4.8, reviews=1021, popular)
  [87] 娜滋滋烤魚 (rating=4.8, reviews=2086, popular)
  [88] 老時光燒肉酒肴 (rating=4.8, reviews=11875, popular)
  [89] 兩斤農莊食堂（前干城） (rating=4.8, reviews=1535, popular)
  [90] 迷途鯨魚-花蓮推薦美食｜熱門餐廳｜打卡餐廳｜在地美食｜CP美食｜人氣 (rating=4.8, reviews=3900, popular)
  [94] 養鍋 Yang Guo 石頭涮涮鍋 (花蓮中山店) (rating=4.8, reviews=5909, popular)
  [95] 肉出微笑涮涮鍋-花蓮店 (rating=4.8, reviews=1131, popular)
  [96] 翻火鍋 (rating=4.8, reviews=3357, popular)
  [100] 燒肉神保町花蓮館 (rating=4.8, reviews=7796, popular)
  [101] 洄瀾灣景觀餐廳｜洄瀾灣親子農場｜洄瀾灣親子動物區 (rating=4.8, reviews=7571, popular)
  [102] Oops驚奇咖啡 (rating=4.8, reviews=4029, popular)
  [104] 實季。Seedson café 花蓮店 (rating=4.8, reviews=1258, popular)
