Total changes: 1640
  [台北] 北投区 -> 北投
  [台北] 大安区 -> 大安
  [台北] 中正区 -> 中正
  [台北] 大安区 -> 大安
  [台北] 萬華区 -> 萬華
  [台北] 大安区 -> 大安
  [台北] 中山区 -> 中山
  [台北] 大安区 -> 大安
  [台北] 大同区 -> 大同
  [台北] 中正区 -> 中正
  [台北] 中山区 -> 中山
  [台北] 中正区 -> 中正
  [台北] 中山区 -> 中山
  [台北] 信義区 -> 信義
  [台北] 中山区 -> 中山
  [台北] 大安区 -> 大安
  [台北] 大安区 -> 大安
  [台北] 大同区 -> 大同
  [台北] 中山区 -> 中山
  [台北] 大安区 -> 大安
  [台北] 中正区 -> 中正
  [台北] 大安区 -> 大安
  [台北] 大安区 -> 大安
  [台北] 大同区 -> 大同
  [台北] 中山区 -> 中山
  [台北] 大安区 -> 大安
  [台北] 大安区 -> 大安
  [台北] 中山区 -> 中山
  [台北] 萬華区 -> 萬華
  [台北] 中山区 -> 中山
  [台北] 大同区 -> 大同
  [台北] 萬華区 -> 萬華
  [台北] 大同区 -> 大同
  [台北] 大安区 -> 大安
  [台北] 大安区 -> 大安
  [台北] 大同区 -> 大同
  [台北] 大同区 -> 大同
  [台北] 大安区 -> 大安
  [台北] 中山区 -> 中山
  [台北] 大同区 -> 大同
  [台北] 信義区 -> 信義
  [台北] 士林区 -> 士林
  [台北] 大安区 -> 大安
  [台北] 大安区 -> 大安
  [台北] 萬華区 -> 萬華
  [台北] 大同区 -> 大同
  [台北] 大安区 -> 大安
  [台北] 松山区 -> 松山
  [台北] 信義区 -> 信義
  [台北] 文山区 -> 文山
  [台北] 信義区 -> 信義
  [台北] 大安区 -> 大安
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 大安区 -> 大安
  [台北] 中正区 -> 中正
  [台北] 中山区 -> 中山
  [台北] 中山区 -> 中山
  [台北] 松山区 -> 松山
  [台北] 松山区 -> 松山
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 中正区 -> 中正
  [台北] 大安区 -> 大安
  [台北] 大同区 -> 大同
  [台北] 中正区 -> 中正
  [台北] 松山区 -> 松山
  [台北] 北投区 -> 北投
  [台北] 北投区 -> 北投
  [台北] 北投区 -> 北投
  [台北] 信義区 -> 信義
  [台北] 松山区 -> 松山
  [台北] 萬華区 -> 萬華
  [台北] 士林区 -> 士林
  [台北] 士林区 -> 士林
  [台北] 士林区 -> 士林
  [台北] 松山区 -> 松山
  [台北] 松山区 -> 松山
  [台北] 松山区 -> 松山
  [台北] 中正区 -> 中正
  [台北] 中山区 -> 中山
  [台北] 信義区 -> 信義
  [台北] 信義区 -> 信義
  [台北] 信義区 -> 信義
