Total changes: 6813
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中山區 -> 中山
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 暖暖區 -> 暖暖
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 暖暖區 -> 暖暖
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 安樂區 -> 安樂
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 信義區 -> 信義
  [基隆] 七堵區 -> 七堵
  [基隆] 中正區 -> 中正
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 信義區 -> 信義
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 安樂區 -> 安樂
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
  [基隆] 七堵區 -> 七堵
  [基隆] 仁愛區 -> 仁愛
  [基隆] 仁愛區 -> 仁愛
