id,brand,store_name,county,district,address,lat,lng,source,updated_at
KLD001,50嵐,基隆廟口店,基隆,仁愛區,基隆市仁愛區愛四路1號,,,manual,2026-07-18
KLD002,50嵐,基隆深溪店,基隆,信義區,基隆市信義區深溪路128號,,,manual,2026-07-18
KLD003,清心福全,百三店,基隆,七堵區,基隆市七堵區百三街44號,,,manual,2026-07-18
KLD004,清心福全,明德店,基隆,七堵區,基隆市七堵區明德一路117號,,,manual,2026-07-18
KLD005,清心福全,安一店,基隆,中山區,基隆市中山區安一路66號,,,manual,2026-07-18
KLD006,清心福全,中華店,基隆,中山區,基隆市中山區中華路5巷12號,,,manual,2026-07-18
KLD007,清心福全,復興店,基隆,中山區,基隆市中山區復興路160號,,,manual,2026-07-18
KLD008,清心福全,海大店,基隆,中正區,基隆市中正區中正路782號,,,manual,2026-07-18
KLD009,清心福全,中船店,基隆,中正區,基隆市中正區中船路88號,,,manual,2026-07-18
KLD010,清心福全,義一店,基隆,中正區,基隆市中正區義一路12號,,,manual,2026-07-18
KLD011,清心福全,仁四店,基隆,仁愛區,基隆市仁愛區仁四路58號,,,manual,2026-07-18
KLD012,清心福全,孝三店,基隆,仁愛區,基隆市仁愛區忠二路39號,,,manual,2026-07-18
KLD013,清心福全,深溪店,基隆,信義區,基隆市信義區深溪路106號,,,manual,2026-07-18
KLD014,清心福全,暖暖店,基隆,暖暖區,基隆市暖暖區東勢街1-15號,,,manual,2026-07-18
KLD015,清心福全,麥金店,基隆,安樂區,基隆市安樂區麥金路202號,,,manual,2026-07-18
KLD016,CoCo都可,基隆廟口店,基隆,仁愛區,基隆市仁愛區愛三路28號,,,manual,2026-07-18
KLD017,CoCo都可,成功店,基隆,仁愛區,基隆市仁愛區成功一路130號,,,manual,2026-07-18
KLD018,CoCo都可,復興店,基隆,中山區,基隆市中山區復興路156號,,,manual,2026-07-18
KLD019,CoCo都可,中船店,基隆,中正區,基隆市中正區中船路60號1樓,,,manual,2026-07-18
KLD020,CoCo都可,海豐店,基隆,中正區,基隆市中正區新豐街306號,,,manual,2026-07-18
KLD021,CoCo都可,七堵店,基隆,七堵區,基隆市七堵區明德一路196號,,,manual,2026-07-18
KLD022,CoCo都可,百福店,基隆,七堵區,基隆市七堵區百三街60號,,,manual,2026-07-18
KLD023,CoCo都可,武崙店,基隆,安樂區,基隆市安樂區基金一路135巷21弄1號B1之6,,,manual,2026-07-18
KLD024,CoCo都可,暖暖店,基隆,暖暖區,基隆市暖暖區源遠路165之10號,,,manual,2026-07-18
KLD025,迷客夏,基隆廟口店,基隆,仁愛區,基隆市仁愛區仁三路80號1樓,,,manual,2026-07-18
KLD026,麻古茶坊,基隆仁三店,基隆,仁愛區,基隆市仁愛區仁三路47號,,,manual,2026-07-18
KLD027,茶聚,七堵百福店,基隆,七堵區,基隆市七堵區百三街32號,,,manual,2026-07-18
KLD028,茶聚,基隆仁二店,基隆,仁愛區,基隆市仁愛區仁二路99號,,,manual,2026-07-18
KLD029,茶聚,基隆孝三店,基隆,仁愛區,基隆市仁愛區孝三路96號,,,manual,2026-07-18
KLD030,COMEBUY,基隆廟口店,基隆,仁愛區,基隆市仁愛區愛四路22號,,,manual,2026-07-18
KLD031,COMEBUY,基隆七堵店,基隆,七堵區,基隆市七堵區自治北街2號,,,manual,2026-07-18
KLD032,COMEBUY,基隆安一店,基隆,安樂區,基隆市安樂區安一路104號,,,manual,2026-07-18
KLD033,COMEBUY,基隆暖暖店,基隆,暖暖區,基隆市暖暖區東勢街1-19號,,,manual,2026-07-18
KLD034,COMEBUY,基隆新豐店,基隆,中正區,基隆市中正區新豐街365號,,,manual,2026-07-18
KLD035,COMEBUY,海洋大學店,基隆,中正區,基隆市中正區北寧路2號,,,manual,2026-07-18
KLD036,茶湯會,基隆廟口店,基隆,仁愛區,基隆市仁愛區愛三路26號,,,manual,2026-07-18
KLD037,大苑子,基隆義二店,基隆,中正區,基隆市中正區義二路27號,,,manual,2026-07-18
