id,name,brand,county,district,address,lat,lng,category,tags,time_tags,rating,description,dishes,business_hours,source,updated_at
KLF001,Eddie's Cafe Et Tiramisu,,基隆,仁愛,,25.1261522,121.7360913,咖啡廳,sp,下午茶,4.6,提供美味咖啡與絕妙提拉米蘇的悠閒咖啡館。[],,13:00-19:00,manual,
KLF002,七堵家傳營養三明治,,基隆,七堵,,25.0974237,121.7144277,咖啡廳,sp,下午茶,4.6,十分熱門的樸實餐車，販售以油炸麵包、蛋和蔬菜組成的三明治。,[],14:30-19:30,manual,
KLF003,多好咖啡店 Anygood Coffee,,基隆,,,25.1276061,121.7417865,咖啡廳,sp,下午茶,4.6,精選咖啡與輕食，適合悠閒的午後時光，讓人倍感放鬆。,[],10:00-18:00,manual,
KLF004,聚爐益爆漿胡椒餅,,基隆,仁愛,,25.1299892,121.7447124,中式,sp,午餐|晚餐,4.6,人氣小吃，外脆內軟的胡椒餅，爆漿口感令人驚豔。,[],16:00-23:00,manual,
KLF005,華星牛排館,,基隆,仁愛,,25.1299708,121.7412378,西式,sp,午餐|晚餐,4.5,人氣牛排口感鮮嫩多汁，讓人回味無窮。,[],11:30-23:00,manual,
KLF006,金蠔呷小吃店,,基隆,中正,,25.1344801,121.7473301,中式,sp,午餐|晚餐,4.4,,[],11:00-20:00,manual,
KLF007,三坑高記手工粉圓。豆花（無固定休，休息資訊請看FB粉絲專頁）,,基隆,仁愛,,25.1227454,121.7422071,中式,sp,午餐|晚餐,4.4,招牌豆花口感滑順，手作粉圓更是好評如潮，值得一試。,[],10:30-19:00,manual,
KLF008,張家餛飩麵店,,基隆,仁愛,,25.1301803,121.7389862,中式,sp,午餐|晚餐,4.3,餛飩搭配麵條，餡料鮮美，湯頭清爽，是道地美食。,[],5:00-13:00；週日公休,manual,
KLF009,天一香肉羹順（廟口31號攤）,,基隆,,,25.1283219,121.7432051,中式,sp,午餐|晚餐,4.3,百年歷史老店，基隆廟口夜市最強滷肉飯，傳承三代，2023基隆滷肉飯王者爭霸第三名,[],10:00-00:30,manual,
KLF010,連珍糕餅,,基隆,,,25.1286806,121.7419616,烘焙,sp,午餐|晚餐,4.3,百年老店芋泥球、咖哩酥知名，基隆伴手禮首選，位於仁三路李鵠旁,[],8:00-21:00,manual,
KLF011,榮生魚片,,基隆,,,25.1278282,121.7373368,日式,sp,午餐|晚餐,4.3,孝三路/成功市場超人氣生魚片店，新鮮海產現切，CP值高,[],,manual,
KLF012,九如營養三明治常一嚐,,基隆,安樂,,25.140526,121.711114,咖啡廳,sp,下午茶,4.3,安樂區基金一路28年老店油炸麵包夾美乃滋番茄黃瓜滷蛋基隆味,[],,manual,
KLF013,遠東賴家水煎包,,基隆,仁愛,,25.1294704,121.7388293,中式,sp,午餐|晚餐,4.3,採開放式空間的樸實店面，周圍熙熙攘攘，供應傳統水煎包。,[],,manual,
KLF014,昇美早餐屋孝三店（炭烤三明治專賣）,,基隆,仁愛,,25.1300768,121.739197,咖啡廳,sp,早餐|下午茶,4.3,炭烤三明治專賣，搭配香濃咖啡，完美早晨。,[],,manual,
KLF015,遠東泡泡冰,,基隆,仁愛,,25.1278688,121.7448625,甜品,sp,午餐|晚餐,4.3,採木質裝潢的舒適店鋪，專賣各種新鮮水果口味的泡泡冰。,[],,manual,
KLF016,東北麵食館,,基隆,仁愛,,25.1277413,121.7433238,中式,sp,午餐|晚餐,4.2,,[],,manual,
KLF017,海味海產店,,基隆,仁愛,,25.1276959,121.7372506,中式,sp,午餐|晚餐,4.2,,[],,manual,
KLF018,擇食居酒屋,,基隆,仁愛,,25.1285641,121.7401525,日式,sp,午餐|晚餐|宵夜,4.2,多樣日式菜品，人氣場所值得一訪。,[],,manual,
KLF019,品辰素食坊-健康素食麵疙瘩,,基隆,仁愛,,25.130969,121.7397479,素食,sp,午餐|晚餐,4.2,素食餐廳，提供健康蔬食料理。,[],,manual,
KLF020,三姐妹餐飲店,,基隆,仁愛,,25.1304166,121.7384342,中式,sp,午餐|晚餐,4.1,人氣店家，提供多樣台灣家常菜，讓你感受家的味道。,[],,manual,
KLF021,長腳麵食,,基隆,仁愛,,25.1308746,121.739572,中式,sp,午餐|晚餐,4.1,環境樸實素雅的小型餐館，供應簡單的麵食。,[],,manual,
